,target,text
0,0,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
1,0,ok lar joke wif u oni
2,1,free entri wkli comp win fa cup final tkt st may text fa receiv entri question std txt rate c appli
3,0,u dun say earli hor u c alreadi say
4,0,nah think goe usf live around though
5,1,freemsg hey darl week word back like fun still tb ok xxx std chg send rcv
6,0,even brother like speak treat like aid patent
7,0,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
8,1,winner valu network custom select receivea prize reward claim call claim code kl valid hour
9,1,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free
10,0,gonna home soon want talk stuff anymor tonight k cri enough today
11,1,six chanc win cash pound txt csh send cost p day day tsandc appli repli hl info
12,1,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw
13,0,search right word thank breather promis wont take help grant fulfil promis wonder bless time
14,0,date sunday
15,1,xxxmobilemovieclub use credit click wap link next txt messag click http wap xxxmobilemovieclub com n qjkgighjjgcbl
16,0,oh k watch
17,0,eh u rememb spell name ye v naughti make v wet
18,0,fine way u feel way gota b
19,1,england v macedonia dont miss goal team news txt ur nation team eg england tri wale scotland txt poboxox w wq
20,0,serious spell name
21,0,go tri month ha ha joke
22,0,pay first lar da stock comin
23,0,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi
24,0,ffffffffff alright way meet sooner
25,0,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol
26,0,lol alway convinc
27,0,catch bu fri egg make tea eat mom left dinner feel love
28,0,back amp pack car let know room
29,0,ahhh work vagu rememb feel like lol
30,0,wait still clear sure sarcast x want live us
31,0,yeah got v apologet n fallen actin like spoilt child got caught till go badli cheer
32,0,k tell anyth
33,0,fear faint housework quick cuppa
34,1,thank subscript rington uk mobil charg month pleas confirm repli ye repli charg
35,0,yup ok go home look time msg xuhui go learn nd may lesson
36,0,oop let know roommat done
37,0,see letter b car
38,0,anyth lor u decid
39,0,hello saturday go text see decid anyth tomo tri invit anyth
40,0,pl go ahead watt want sure great weekend abiola
41,0,forget tell want need crave love sweet arabian steed mmmmmm yummi
42,1,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow
43,0,see
44,0,great hope like man well endow lt gt inch
45,0,call messag miss call
46,0,get hep b immunis nigeria
47,0,fair enough anyth go
48,0,yeah hope tyler could mayb ask around bit
49,0,u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker
50,0,think first time saw class
51,0,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt
52,0,k fyi x ride earli tomorrow morn crash place tonight
53,0,wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass
54,1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
55,0,know mallika sherawat yesterday find lt url gt
56,1,congrat year special cinema pass call c suprman v matrix starwar etc free bx ip pm dont miss
57,0,sorri call later meet
58,0,tell reach
59,0,ye gauti sehwag odi seri
60,0,gonna pick burger way home even move pain kill
61,0,ha ha ha good joke girl situat seeker
62,0,part check iq
63,0,sorri roommat took forev ok come
64,0,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
65,1,valu custom pleas advis follow recent review mob award bonu prize call
66,0,today song dedic day song u dedic send ur valuabl frnd first rpli
67,1,urgent ur award complimentari trip eurodisinc trav aco entri claim txt di morefrmmob shracomorsglsuplt ls aj
68,1,hear new divorc barbi come ken stuff
69,0,plane give month end
70,0,wah lucki man save money hee
71,0,finish class
72,0,hi babe im home wanna someth xx
73,0,k k perform
74,0,u call
75,0,wait machan call free
76,0,that cool gentleman treat digniti respect
77,0,like peopl much shi pa
78,0,oper lt gt
79,0,still look job much ta earn
80,0,sorri call later
81,0,k call ah
82,0,ok way home hi hi
83,0,place man
84,0,yup next stop
85,0,call later network urgnt sm
